Offset 000252: arquivo1 = 59 | arquivo2 = 51
Offset 000254: arquivo1 = 2A | arquivo2 = 28
Offset 000255: arquivo1 = 10 | arquivo2 = 18
Offset 000256: arquivo1 = 89 | arquivo2 = FB
Offset 000257: arquivo1 = 88 | arquivo2 = 8D
Offset 000258: arquivo1 = 81 | arquivo2 = F3
Offset 000259: arquivo1 = 33 | arquivo2 = 34
Offset 00025A: arquivo1 = 02 | arquivo2 = 0B
Offset 00025B: arquivo1 = B3 | arquivo2 = C1
Offset 00025C: arquivo1 = CF | arquivo2 = C8
Offset 00025D: arquivo1 = 9B | arquivo2 = E0
Offset 00025E: arquivo1 = C9 | arquivo2 = BE
Offset 00025F: arquivo1 = AF | arquivo2 = AA
Offset 000260: arquivo1 = E6 | arquivo2 = 94
Offset 000261: arquivo1 = 6B | arquivo2 = 6C
Offset 000262: arquivo1 = B0 | arquivo2 = C1
Offset 000263: arquivo1 = 5B | arquivo2 = 29
Offset 000264: arquivo1 = 04 | arquivo2 = 03
Offset 000265: arquivo1 = 60 | arquivo2 = 63
Offset 000266: arquivo1 = 18 | arquivo2 = 6F
Offset 000267: arquivo1 = B7 | arquivo2 = B2
Offset 000268: arquivo1 = 0C | arquivo2 = 7E
Offset 000269: arquivo1 = 8A | arquivo2 = 8D
Offset 00026A: arquivo1 = 2D | arquivo2 = 5F
Offset 00026B: arquivo1 = 68 | arquivo2 = 1A
Offset 00026C: arquivo1 = 74 | arquivo2 = 73
Offset 00026E: arquivo1 = FA | arquivo2 = 8D
Offset 00026F: arquivo1 = 6B | arquivo2 = 6E
Offset 000270: arquivo1 = F0 | arquivo2 = 82
Offset 000271: arquivo1 = A3 | arquivo2 = D7
Offset 000272: arquivo1 = 6D | arquivo2 = 1E
Offset 000273: arquivo1 = DB | arquivo2 = A9
Offset 000274: arquivo1 = 5B | arquivo2 = 5C
Offset 000275: arquivo1 = 2F | arquivo2 = 2E
Offset 000276: arquivo1 = 15 | arquivo2 = 62
Offset 000277: arquivo1 = 31 | arquivo2 = 34
Offset 000278: arquivo1 = E6 | arquivo2 = 94
Offset 000279: arquivo1 = 6A | arquivo2 = 6D
Offset 00027A: arquivo1 = 1A | arquivo2 = 6E
Offset 00027B: arquivo1 = 11 | arquivo2 = 63
Offset 00027C: arquivo1 = 9B | arquivo2 = 9C
Offset 00027D: arquivo1 = 55 | arquivo2 = 53
Offset 00027E: arquivo1 = 2A | arquivo2 = 5D
Offset 00027F: arquivo1 = 97 | arquivo2 = 92
Offset 000280: arquivo1 = 3F | arquivo2 = 4D
Offset 000281: arquivo1 = B0 | arquivo2 = B7
Offset 000282: arquivo1 = D9 | arquivo2 = AC
Offset 000283: arquivo1 = 37 | arquivo2 = 45
Offset 000284: arquivo1 = DE | arquivo2 = D9
Offset 000285: arquivo1 = B6 | arquivo2 = B1
Offset 000286: arquivo1 = 70 | arquivo2 = 07
Offset 000287: arquivo1 = 8C | arquivo2 = 89
Offset 000288: arquivo1 = 36 | arquivo2 = 44
Offset 000289: arquivo1 = 97 | arquivo2 = 90
Offset 00028A: arquivo1 = 07 | arquivo2 = 71
Offset 00028B: arquivo1 = A2 | arquivo2 = D0
Offset 00028C: arquivo1 = 2E | arquivo2 = 29
Offset 00028D: arquivo1 = 71 | arquivo2 = 75
Offset 00028E: arquivo1 = 46 | arquivo2 = 31
Offset 00028F: arquivo1 = 6E | arquivo2 = 1C
Offset 000290: arquivo1 = 1E | arquivo2 = 6C
Offset 000291: arquivo1 = 7C | arquivo2 = 0D
Offset 000294: arquivo1 = B3 | arquivo2 = B0
Offset 000296: arquivo1 = E4 | arquivo2 = 90
Offset 000297: arquivo1 = CD | arquivo2 = CA
Offset 000298: arquivo1 = A5 | arquivo2 = D1
Offset 000299: arquivo1 = 1A | arquivo2 = 1E
Offset 00029A: arquivo1 = 33 | arquivo2 = 32
Offset 00029C: arquivo1 = 99 | arquivo2 = 9A
Offset 00029D: arquivo1 = 9F | arquivo2 = 9E
Offset 0002A1: arquivo1 = 7E | arquivo2 = 7D
Offset 0002A2: arquivo1 = D5 | arquivo2 = D7
Offset 0002A4: arquivo1 = 27 | arquivo2 = 24
Offset 0002A5: arquivo1 = DE | arquivo2 = DC
Offset 0002A9: arquivo1 = 5B | arquivo2 = 58
Offset 0002AA: arquivo1 = 73 | arquivo2 = 70
Offset 0002AC: arquivo1 = 1D | arquivo2 = 1E
Offset 0002AD: arquivo1 = B8 | arquivo2 = BB
Offset 0002AE: arquivo1 = 25 | arquivo2 = 2D
Offset 0002AF: arquivo1 = 36 | arquivo2 = 31
Offset 0002B1: arquivo1 = 82 | arquivo2 = 81
Offset 0002B2: arquivo1 = B9 | arquivo2 = BD
Offset 0002B4: arquivo1 = 0E | arquivo2 = 0D
Offset 0002B5: arquivo1 = B9 | arquivo2 = BD
Offset 0002B9: arquivo1 = E1 | arquivo2 = E2
Offset 0002BA: arquivo1 = C8 | arquivo2 = CD
Offset 0002BC: arquivo1 = F6 | arquivo2 = F5
Offset 0002BD: arquivo1 = D9 | arquivo2 = DC
Offset 0002C1: arquivo1 = D6 | arquivo2 = D5
Offset 0002C2: arquivo1 = 2C | arquivo2 = 2A
Offset 0002C4: arquivo1 = A0 | arquivo2 = A3
